Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Signaling by GPCR	Reactome	R-HSA-372790	95	1170	3.45E-30	2.19E-27	GPR20|CALM2|RXFP4|GLP1R|RGS16|LHB|FPR3|CAMK2A|CREB1|RGSL1|CCL21|RBP2|CXCL13|CXCL12|APP|NPY1R|ADCY8|NPY|WNT7B|PPP2CB|PLCB1|GNAO1|GPBAR1|GABBR2|PPP1R1B|HTR2A|CX3CL1|GRM5|TRH|GUCY2F|MLN|CHRM1|MTNR1B|TACR1|OR7C1|GNAQ|SDC2|OR1L8|CCR1|CCR3|CCR5|ADCYAP1|GNAI1|CNR1|FZD9|MAPK3|PPBP|MAPK1|BCO2|PENK|PDYN|GNB5|GNB1|CRHBP|OPRM1|PRKAR1A|PRKAR1B|LRP2|BDKRB2|NPY5R|WNT2|QRFPR|OR7A5|SSTR3|CDK5|LPAR3|LPAR1|DRD4|PTH1R|KALRN|UCN2|PDE1C|TAC1|PDE1A|RGS4|CXCR4|RGS9|KISS1R|PRKCA|CHRM4|PRKCE|CHRM2|PRKCG|APOE|OPRK1|GRPR|CALCR|DRD2|DRD3|OPRD1|GNA11|HTR1D|CALCA|OR13A1|HTR1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-372790
GPCR downstream signalling	Reactome	R-HSA-388396	91	1108	2.77E-29	1.32E-26	GPR20|CALM2|RXFP4|GLP1R|RGS16|LHB|FPR3|CAMK2A|CREB1|RGSL1|CX3CL1|RBP2|CXCL13|CXCL12|APP|NPY1R|ADCY8|NPY|PPP2CB|PLCB1|GNAO1|GPBAR1|GABBR2|PPP1R1B|HTR2A|CCL21|GRM5|TRH|GUCY2F|MLN|CHRM1|MTNR1B|TACR1|OR7C1|GNAQ|SDC2|OR1L8|CCR1|CCR3|CCR5|ADCYAP1|GNAI1|CNR1|MAPK3|PPBP|MAPK1|BCO2|PENK|PDYN|GNB5|GNB1|OPRM1|PRKAR1A|PRKAR1B|LRP2|BDKRB2|NPY5R|QRFPR|OR7A5|SSTR3|CDK5|LPAR3|LPAR1|DRD4|PTH1R|KALRN|UCN2|PDE1C|TAC1|PDE1A|RGS4|CXCR4|RGS9|KISS1R|PRKCA|CHRM4|PRKCE|CHRM2|PRKCG|APOE|OPRK1|GRPR|CALCR|DRD2|DRD3|OPRD1|GNA11|HTR1D|CALCA|OR13A1|HTR1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388396
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	84	836	1.05E-32	1.10E-29	BCL2L1|PTGS2|IL13|MT2A|IL10RA|TIMP1|HLA-C|CDKN1A|NFKBIA|IL5RA|HIF1A|PTPRZ1|TNFRSF17|MAP2K1|STXBP2|MAPK10|CCR5|CCK|SOX2|GDNF|SPTBN2|IL1RL1|MEF2C|HLA-DRA|TEK|CALM2|PPM1B|CEBPD|NEFL|EGR1|JUN|SOCS3|FGF2|MAPK3|FGF19|MAPK1|DUSP9|TNFRSF9|NF1|AFP|YWHAB|GRIN1|DUSP6|PTK2|BLNK|APP|RASGEF1A|HSPA8|FOS|CAMK2A|CREB1|HLA-DRB5|OPRM1|RAG1|RHOU|IL31|FGF7|RPS6KA5|FGF3|PSMA8|FSCN1|RASGRF1|ACTN2|MAPK9|UBE2M|CASP3|FN1|CCR1|PTPN13|GRB2|CA1|PPP2CB|HMOX1|STX1A|FGF23|IL6|CCND1|TNF|COL1A2|OPRD1|PSMB4|MMP2|IRF9|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Post-translational protein modification	Reactome	R-HSA-597592	80	1412	9.95E-17	1.09E-14	CAPZB|RAD23B|APP|TIMP1|THRB|NFKBIA|SCG2|NR3C1|HIF1A|SBSPON|SPON1|VCAN|TTLL6|CNTN4|GABBR1|ST6GAL2|VDAC1|THBS1|UBE2V2|ADAMTSL2|TUBA3C|APOE|LYPD2|ZBTB16|GCNT3|ADAMTS2|DYNC1I1|TUBA1A|TFAP2B|THBS2|SOCS3|NSF|TEX101|PC|AMBN|RAB11B|CEACAM5|NAPA|GOSR1|TF|PSMA8|TUBB2B|COL7A1|ART3|MATN3|LHB|PDIA3|CCK|HSPA8|LY6K|HGS|RAB6A|NEGR1|BMP4|HIST3H2BB|NOTUM|MUC5AC|TUBA4A|TOMM70|UCHL1|THY1|ST6GALNAC1|CALM2|GALNT16|GALNT17|TUBAL3|UBE2M|RAB31|FN1|SPSB1|ADAMTS1|ST8SIA6|SDC2|LSAMP|IL6|PRSS21|SPTBN2|PENK|PSMB4|FGF23	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592
Developmental Biology	Reactome	R-HSA-1266738	79	1082	1.45E-22	2.92E-20	STX1A|EFNB3|PTK2|CAPNS1|RPL23A|SCN7A|EPHA6|CDKN1A|CLTB|EPHA3|RPL3|CTNNB1|SOX2|KRT1|KRT7|LGI1|KRT5|TUBA4A|NKX2-2|COL2A1|SPTBN2|ADIPOQ|TUBA3C|MYF6|CEBPD|EGR2|GDF1|KRT83|JUN|PKP3|NRP1|SCN2B|MAPK1|SLIT3|SLIT2|CXCR4|PSMA8|MAPK3|RPSA|GDNF|HSPA8|TAL1|NELL2|PRKCA|UNC5C|KRT27|CREB1|CACNA1D|KALRN|TNF|HIST3H2BB|ADAM23|SPRR2D|ITGA9|CXCL12|GRIN1|CTNNA2|TUBB2B|FGF2|TUBAL3|RPS6KA5|RPS6KA6|MMP2|SDC2|CERS1|MAP2K1|RPL30|PLXNA4|MEF2C|COL5A1|HOXA3|CDK5|CASP14|RPL10L|MYH11|PSMB4|COL6A5|TUBA1A|COL6A6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
Gene expression (Transcription)	Reactome	R-HSA-74160	73	1448	5.46E-13	2.83E-11	CLDN5|TFAP2B|GRIA2|NR2F1|CDKN1A|SCG2|PRDX2|CTNNB1|TXNIP|SOX9|HAND2|SOX2|TAL1|BDNF|TFAP2E|GAD1|ITGBL1|SRSF7|SRSF6|CALM2|FKBP5|RAN|ZNF385A|CCNE1|JUN|RB1|THBS1|GLI2|MAPK3|YWHAH|MAPK1|YWHAB|PSMA8|YWHAG|COX6C|NR3C1|NR4A1|DDIT4|FOS|NR4A3|RXRG|CAMK2A|CREB1|THRB|OPRM1|APOE|TP53INP1|SMARCD1|OPRK1|ZNF560|MOBP|GATA1|RSPO3|NFIB|NFIA|SOCS3|SGK1|ZNF735|CCND1|LMO1|PPP2CB|MAEL|PLXNA4|MEF2C|CTGF|PITX2|NPY|CDK5|COL1A1|HIST3H2BB|PSMB4|COX1|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
Signaling by Interleukins	Reactome	R-HSA-449147	73	619	1.56E-32	1.36E-29	BCL2L1|PTGS2|IL13|IL10RA|TIMP1|CDKN1A|NFKBIA|IL5RA|HIF1A|PTPRZ1|CCR1|MAP2K1|STXBP2|MAPK10|CCR5|CCK|SOX2|GDNF|SPTBN2|IL1RL1|MEF2C|TEK|CALM2|CEBPD|NEFL|JUN|SOCS3|FGF2|MAPK3|FGF19|MAPK1|DUSP9|NF1|YWHAB|GRIN1|DUSP6|PTK2|BLNK|APP|RASGEF1A|HSPA8|FOS|CAMK2A|CREB1|OPRM1|RAG1|RHOU|IL31|FGF7|RPS6KA5|FGF3|PSMA8|FSCN1|RASGRF1|ACTN2|MAPK9|CASP3|FN1|PTPN13|GRB2|CA1|PPP2CB|HMOX1|STX1A|IL6|CCND1|TNF|COL1A2|OPRD1|PSMB4|MMP2|FGF23|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Metabolic pathways	KEGG PATHWAY	hsa01100	71	1433	2.47E-12	1.17E-10	PTGS2|COX1|ST6GAL2|INMT|CKB|PRDX6|ALDH3A1|GAPDH|SMPD2|TPI1|MDH2|PLA2G1B|ATP5B|GADL1|PTGDS|ADCY8|GAD1|ALDH1A3|NDUFV2|ASAH1|GCNT3|NDUFS1|PDE1C|PDE1A|NDST3|GCLC|GARS|TKT|ITPKB|MGAT5B|TH|B3GALT2|ATP6V1B2|COX6C|PKM|TYRP1|PLA2G2D|B3GALT1|GUCY2F|GALNT17|QDPR|PLCB1|HMGCLL1|PTGIS|ENO1|ENO2|ENO3|CYP2A6|HMGCR|GGT5|COX7A2|IL4I1|ST6GALNAC1|GALNT16|DBH|UGT1A10|CA2|CA1|HMOX1|NUDT10|HYAL4|ATP6V0A4|MAOB|GSTP1|CYP2C19|GAA|ATP6V1E1|ALPI|UQCRC2|ALDH3B2|UQCRC1	http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:760%09red/hsa:2986%09red/hsa:427%09red/hsa:2571%09red/hsa:9588%09red/hsa:11185%09red/hsa:529%09red/hsa:23236%09red/hsa:57452%09red/hsa:3707%09red/hsa:218%09red/hsa:1557%09red/hsa:84620%09red/hsa:250%09red/hsa:55808%09red/hsa:7306%09red/hsa:54511%09red/hsa:53343%09red/hsa:4129%09red/hsa:220%09red/hsa:2729%09red/hsa:2023%09red/hsa:2618%09red/hsa:2026%09red/hsa:2027%09red/hsa:1548%09red/hsa:442117%09red/hsa:5743%09red/hsa:5740%09red/hsa:5136%09red/hsa:8707%09red/hsa:7054%09red/hsa:146664%09red/hsa:9348%09red/hsa:5319%09red/hsa:2548%09red/hsa:3162%09red/hsa:7167%09red/hsa:5315%09red/hsa:23553%09red/hsa:5860%09red/hsa:8708%09red/hsa:4719%09red/hsa:759%09red/hsa:1347%09red/hsa:5137%09red/hsa:1345%09red/hsa:7384%09red/hsa:7385%09red/hsa:9245%09red/hsa:339896%09red/hsa:506%09red/hsa:54575%09red/hsa:526%09red/hsa:6610%09red/hsa:1120%09red/hsa:4512%09red/hsa:2687%09red/hsa:1621%09red/hsa:222%09red/hsa:7086%09red/hsa:26279%09red/hsa:259307%09red/hsa:3156%09red/hsa:2950%09red/hsa:2597%09red/hsa:4191%09red/hsa:114%09red/hsa:50617%09red/hsa:4729%09red/hsa:5730%09red
Disease	Reactome	R-HSA-1643685	70	1049	3.62E-18	4.86E-16	SLC6A3|SLC6A2|CAPNS1|APP|RPL23A|THBS2|CDKN1A|NFKBIA|VCAN|PRDX2|SLC36A2|CTNNB1|SLC5A1|HSPA1A|SLC4A1|CCR5|KREMEN2|RPS6KB2|LUM|DCN|STX1A|CALM2|ADAMTS2|RAN|JUN|GCLC|THBS1|XPO1|MAPK3|FGF19|MAPK1|NF1|CXCR4|YWHAB|PSMA8|SLC2A1|GAA|SLC6A14|RPL3|ADAMTSL2|SPON1|NR4A1|SLC7A11|FGF7|CAMK2A|CREB1|HGS|LTF|MUC5AC|ADAMTS1|SBSPON|FGF3|FGF2|RPSA|FN1|HSPA1B|SLC3A2|SDC2|PPP2CB|OMD|MAP2K1|RPL30|FGF23|PRELP|OGN|CDK5|RPL10L|PSMB4|DKK4|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
Pathways in cancer	KEGG PATHWAY	hsa05200	70	530	5.41E-34	7.08E-31	BCL2L1|PTGS2|PTK2|BIRC7|ADCY8|CDKN1A|NFKBIA|LAMA2|IGF1R|HIF1A|CTNNB1|MAP2K1|MAPK10|RPS6KB2|GNAI1|LPAR1|CALM2|ZBTB16|FZD9|CCNE1|JUN|MST1|RB1|GADD45G|GLI2|MAPK3|FGF19|MAPK1|CXCR4|RPS6KA5|MAPK9|IGF2|PLCB1|IL5RA|FOS|GNB5|GRB2|RXRG|GNB1|CAMK2A|PRKCG|VEGFD|BMP4|PRKCA|FGF8|FGF7|LAMC3|CXCL12|FGF3|FGF2|CTNNA2|GNAQ|BDKRB2|CASP3|FN1|CCND1|WNT2|IL13|HMOX1|SLC2A1|IL6|CALML3|GSTP1|DLL3|GNA11|LPAR3|HHIP|MMP2|FGF23|WNT7B	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:3568%09red/hsa:3569%09red/hsa:3481%09red/hsa:5582%09red/hsa:598%09red/hsa:2885%09red/hsa:9252%09red/hsa:79444%09red/hsa:2248%09red/hsa:5594%09red/hsa:1902%09red/hsa:3908%09red/hsa:2252%09red/hsa:624%09red/hsa:8074%09red/hsa:3480%09red/hsa:2736%09red/hsa:2767%09red/hsa:3596%09red/hsa:6387%09red/hsa:5595%09red/hsa:5743%09red/hsa:6199%09red/hsa:5747%09red/hsa:2253%09red/hsa:2335%09red/hsa:2277%09red/hsa:5604%09red/hsa:5602%09red/hsa:3162%09red/hsa:7477%09red/hsa:23566%09red/hsa:10681%09red/hsa:3091%09red/hsa:2353%09red/hsa:595%09red/hsa:6789%09red/hsa:652%09red/hsa:3725%09red/hsa:5601%09red/hsa:6258%09red/hsa:10319%09red/hsa:2782%09red/hsa:114%09red/hsa:4792%09red/hsa:2770%09red/hsa:898%09red/hsa:23236%09red/hsa:5925%09red/hsa:805%09red/hsa:10912%09red/hsa:810%09red/hsa:8326%09red/hsa:5578%09red/hsa:1026%09red/hsa:836%09red/hsa:10683%09red/hsa:2776%09red/hsa:6513%09red/hsa:815%09red/hsa:2247%09red/hsa:2950%09red/hsa:4313%09red/hsa:7704%09red/hsa:64399%09red/hsa:7852%09red/hsa:1499%09red/hsa:1496%09red/hsa:7472%09red/hsa:9965%09red
