Sample	Type
TCGA.DD.AADN	Low
TCGA.QA.A7B7	Low
TCGA.DD.AAE9	Low
TCGA.DD.AAD5	Low
TCGA.DD.AADB	Low
TCGA.DD.AA3A	Low
TCGA.RC.A7SH	Low
TCGA.G3.A7M9	Low
TCGA.2Y.A9H2	Low
TCGA.DD.AADK	Low
TCGA.UB.A7MA	Low
TCGA.DD.AACF	Low
TCGA.RC.A7SK	Low
TCGA.BC.A69H	Low
TCGA.DD.AACC	Low
TCGA.2Y.A9H0	Low
TCGA.FV.A4ZP	Low
TCGA.G3.A7M7	Low
TCGA.FV.A2QR	Low
TCGA.DD.A4NN	Low
TCGA.G3.AAV3	Low
TCGA.DD.A4NE	Low
TCGA.G3.A25X	Low
TCGA.DD.AAE0	Low
TCGA.KR.A7K8	Low
TCGA.DD.AADV	Low
TCGA.DD.A3A3	Low
TCGA.2Y.A9GU	Low
TCGA.DD.AACP	Low
TCGA.DD.AAW2	Low
TCGA.DD.A4NH	Low
TCGA.DD.A113	Low
TCGA.RC.A7SB	Low
TCGA.EP.A26S	Low
TCGA.K7.A5RG	Low
TCGA.DD.AACJ	Low
TCGA.YA.A8S7	Low
TCGA.DD.AAEG	Low
TCGA.DD.AACQ	Low
TCGA.G3.AAV7	Low
TCGA.DD.AAEE	Low
TCGA.ZS.A9CE	Low
TCGA.DD.A73G	Low
TCGA.DD.AAVU	Low
TCGA.DD.A115	Low
TCGA.EP.A3JL	Low
TCGA.4R.AA8I	Low
TCGA.DD.A116	Low
TCGA.DD.A4NA	Low
TCGA.RC.A7S9	Low
TCGA.DD.A39W	Low
TCGA.DD.A3A4	Low
TCGA.DD.A39V	Low
TCGA.KR.A7K7	Low
TCGA.DD.A1EF	Low
TCGA.DD.AACA	Low
TCGA.G3.A5SJ	Low
TCGA.DD.A1EL	Low
TCGA.DD.AACL	Low
TCGA.UB.A7MB	Low
TCGA.DD.AACB	Low
TCGA.DD.AADP	Low
TCGA.O8.A75V	Low
TCGA.DD.AAVY	Low
TCGA.DD.A39Y	Low
TCGA.DD.AAVS	Low
TCGA.G3.A25S	Low
TCGA.DD.AACD	Low
TCGA.RG.A7D4	Low
TCGA.DD.AACH	Low
TCGA.DD.A73B	Low
TCGA.DD.AADL	Low
TCGA.DD.AAE2	Low
TCGA.DD.A1EG	Low
TCGA.DD.AAW3	Low
TCGA.DD.A3A7	Low
TCGA.DD.A4NP	Low
TCGA.UB.A7MF	Low
TCGA.KR.A7K0	Low
TCGA.G3.A3CJ	Low
TCGA.DD.A114	Low
TCGA.DD.AADJ	Low
TCGA.DD.AADG	Low
TCGA.DD.AAE3	Low
TCGA.G3.A25Z	Low
TCGA.DD.AACI	Low
TCGA.DD.AACY	Low
TCGA.DD.A4NF	Low
TCGA.G3.AAV2	Low
TCGA.DD.AADD	Low
TCGA.DD.A1EA	Low
TCGA.MI.A75G	Low
TCGA.DD.AADC	Low
TCGA.DD.A4NJ	Low
TCGA.UB.A7MD	Low
TCGA.DD.A11A	Low
TCGA.DD.A73E	Low
TCGA.G3.A6UC	Low
TCGA.DD.AACW	Low
TCGA.2Y.A9GZ	Low
TCGA.DD.A1EB	Low
TCGA.EP.A12J	Low
TCGA.BC.A8YO	Low
TCGA.UB.A7MC	Low
TCGA.DD.A3A1	Low
TCGA.DD.AAEB	Low
TCGA.DD.AADF	Low
TCGA.UB.A7ME	Low
TCGA.GJ.A6C0	Low
TCGA.WJ.A86L	Low
TCGA.DD.AACV	Low
TCGA.DD.A119	Low
TCGA.DD.AAVQ	Low
TCGA.DD.A39Z	Low
TCGA.2Y.A9H1	Low
TCGA.2Y.A9H5	Low
TCGA.XR.A8TF	Low
TCGA.DD.AAEH	Low
TCGA.2Y.A9HB	Low
TCGA.2Y.A9GW	Low
TCGA.DD.AAEK	Low
TCGA.PD.A5DF	Low
TCGA.2Y.A9GY	Low
TCGA.DD.A1EJ	Low
TCGA.NI.A4U2	Low
TCGA.DD.AAE1	Low
TCGA.G3.AAV1	Low
TCGA.2Y.A9GT	Low
TCGA.DD.AAVZ	Low
TCGA.DD.AACX	Low
TCGA.BC.A10Z	Low
TCGA.DD.A1EK	Low
TCGA.DD.A11C	Low
TCGA.DD.AAW1	Low
TCGA.GJ.A3OU	Low
TCGA.G3.A5SM	High
TCGA.DD.A4NK	High
TCGA.2Y.A9H3	High
TCGA.DD.AADO	High
TCGA.FV.A3R2	High
TCGA.DD.AAE6	High
TCGA.DD.A3A2	High
TCGA.BC.A5W4	High
TCGA.FV.A23B	High
TCGA.DD.AACZ	High
TCGA.DD.A3A9	High
TCGA.DD.AADW	High
TCGA.2Y.A9H7	High
TCGA.DD.A1EC	High
TCGA.G3.AAV5	High
TCGA.G3.A7M6	High
TCGA.5R.AA1C	High
TCGA.ZS.A9CG	High
TCGA.G3.A5SL	High
TCGA.EP.A2KB	High
TCGA.DD.AAVX	High
TCGA.WX.AA47	High
TCGA.DD.AAVV	High
TCGA.G3.A25Y	High
TCGA.UB.AA0U	High
TCGA.DD.A73D	High
TCGA.DD.A11D	High
TCGA.BD.A3EP	High
TCGA.G3.AAV6	High
TCGA.DD.AACT	High
TCGA.DD.A4NV	High
TCGA.DD.A39X	High
TCGA.DD.AAVP	High
TCGA.2Y.A9HA	High
TCGA.DD.A1EE	High
TCGA.WX.AA44	High
TCGA.ZS.A9CD	High
TCGA.K7.A6G5	High
TCGA.DD.A4NI	High
TCGA.GJ.A9DB	High
TCGA.HP.A5MZ	High
TCGA.DD.AADQ	High
TCGA.DD.AADY	High
TCGA.DD.A1EI	High
TCGA.5R.AA1D	High
TCGA.XR.A8TD	High
TCGA.G3.A3CI	High
TCGA.BD.A3ER	High
TCGA.WQ.AB4B	High
TCGA.RC.A7SF	High
TCGA.DD.AACE	High
TCGA.DD.AAD2	High
TCGA.DD.A118	High
TCGA.G3.A3CG	High
TCGA.K7.AAU7	High
TCGA.DD.AAC9	High
TCGA.MI.A75E	High
TCGA.EP.A2KA	High
TCGA.G3.AAV0	High
TCGA.BC.4073	High
TCGA.2Y.A9H6	High
TCGA.DD.A73C	High
TCGA.DD.AADU	High
TCGA.DD.AADS	High
TCGA.2Y.A9H9	High
TCGA.DD.AAW0	High
TCGA.DD.A3A5	High
TCGA.ZS.A9CF	High
TCGA.DD.AAEI	High
TCGA.BC.A3KG	High
TCGA.DD.A4NQ	High
TCGA.G3.A25U	High
TCGA.G3.A25T	High
TCGA.LG.A9QC	High
TCGA.DD.AACU	High
TCGA.NI.A8LF	High
TCGA.BC.4072	High
TCGA.ES.A2HT	High
TCGA.WX.AA46	High
TCGA.2Y.A9GV	High
TCGA.ES.A2HS	High
TCGA.DD.AAD3	High
TCGA.K7.A5RF	High
TCGA.DD.A4NL	High
TCGA.DD.AAD1	High
TCGA.XR.A8TE	High
TCGA.UB.AA0V	High
TCGA.DD.A4NO	High
TCGA.DD.AAE4	High
TCGA.CC.5263	High
TCGA.G3.A5SI	High
TCGA.DD.AACN	High
TCGA.G3.A25V	High
TCGA.2Y.A9H4	High
TCGA.G3.AAUZ	High
TCGA.DD.AAD0	High
TCGA.DD.AAD8	High
TCGA.DD.A4NG	High
TCGA.5C.A9VH	High
TCGA.3K.AAZ8	High
TCGA.G3.A3CH	High
TCGA.BC.A216	High
TCGA.DD.A73F	High
TCGA.DD.AAE7	High
TCGA.BC.A10X	High
TCGA.LG.A9QD	High
TCGA.5C.A9VG	High
TCGA.MR.A8JO	High
TCGA.G3.A5SK	High
TCGA.DD.A3A6	High
TCGA.XR.A8TG	High
TCGA.DD.A4ND	High
TCGA.DD.A1EH	High
TCGA.DD.AAVR	High
TCGA.DD.AAVW	High
TCGA.DD.A4NS	High
TCGA.DD.AACG	High
TCGA.BC.A217	High
TCGA.DD.AAEA	High
TCGA.DD.AACS	High
TCGA.DD.A4NB	High
TCGA.2Y.A9GX	High
TCGA.KR.A7K2	High
TCGA.5R.AAAM	High
TCGA.DD.A1ED	High
TCGA.MI.A75C	High
TCGA.DD.AAD6	High
TCGA.XR.A8TC	High
TCGA.DD.AADR	High
TCGA.DD.AACO	High
TCGA.DD.AADI	High
TCGA.DD.AADA	High
TCGA.DD.AAED	High
