Mixture	Cell Type	Percentage	dist_cat_n	scat_adj
Normal	CD8.CX3CR1	0	4	-0.2
Normal	CD8.CX3CR1	0.038170574	4	-0.2
Normal	CD8.CX3CR1	0.083193203	4	-0.2
Normal	CD8.CX3CR1	0.040766283	4	-0.2
Normal	CD8.CX3CR1	0.032194343	4	-0.2
Normal	CD8.CX3CR1	0.038992841	4	-0.2
Normal	CD8.CX3CR1	0.013480758	4	-0.2
Normal	CD8.CX3CR1	0.058521919	4	-0.2
Normal	CD8.CX3CR1	0.059676916	4	-0.2
Normal	CD8.CX3CR1	0.004661298	4	-0.2
Normal	CD8.CX3CR1	0.09976556	4	-0.2
Normal	CD8.CX3CR1	0.043010645	4	-0.2
Normal	CD8.CX3CR1	0.007017755	4	-0.2
Normal	CD8.CX3CR1	0.036250718	4	-0.2
Normal	CD8.CX3CR1	0.09577283	4	-0.2
Normal	CD8.CX3CR1	0.043471649	4	-0.2
Normal	CD8.CX3CR1	0.076657659	4	-0.2
Normal	CD8.CX3CR1	0.073735126	4	-0.2
Normal	CD8.CX3CR1	0.059774647	4	-0.2
Normal	CD8.CX3CR1	0	4	-0.2
Normal	CD8.CX3CR1	0.037936258	4	-0.2
Normal	CD8.CX3CR1	0.057728707	4	-0.2
Normal	CD8.CX3CR1	0.021942039	4	-0.2
Normal	CD8.CX3CR1	0.025643226	4	-0.2
Normal	CD8.CX3CR1	0	4	-0.2
Normal	CD8.CX3CR1	0.066989488	4	-0.2
Normal	CD8.CX3CR1	0.005596517	4	-0.2
Normal	CD8.CX3CR1	0.074502372	4	-0.2
Normal	CD8.CX3CR1	0.043817653	4	-0.2
Normal	CD8.CX3CR1	0.015943203	4	-0.2
Normal	CD8.CX3CR1	0.057437583	4	-0.2
Normal	CD8.CX3CR1	0.051009092	4	-0.2
Normal	CD8.CX3CR1	0.068194306	4	-0.2
Normal	CD8.CX3CR1	0.074942741	4	-0.2
Normal	CD8.CX3CR1	0.084421376	4	-0.2
Normal	CD8.CX3CR1	0.025396489	4	-0.2
Normal	CD8.CX3CR1	0.071502982	4	-0.2
Tumor	CD8.CX3CR1	0	4	0.2
Tumor	CD8.CX3CR1	0.049309766	4	0.2
Tumor	CD8.CX3CR1	0.020817162	4	0.2
Tumor	CD8.CX3CR1	0	4	0.2
Tumor	CD8.CX3CR1	0.122066957	4	0.2
Tumor	CD8.CX3CR1	0.018719712	4	0.2
Tumor	CD8.CX3CR1	0.025781121	4	0.2
Tumor	CD8.CX3CR1	0.054978653	4	0.2
Tumor	CD8.CX3CR1	0.009161215	4	0.2
Tumor	CD8.CX3CR1	0.087270673	4	0.2
Tumor	CD8.CX3CR1	0.04258047	4	0.2
Tumor	CD8.CX3CR1	0.001413512	4	0.2
Tumor	CD8.CX3CR1	0	4	0.2
Tumor	CD8.CX3CR1	0.016774374	4	0.2
Tumor	CD8.CX3CR1	0.03714655	4	0.2
Tumor	CD8.CX3CR1	0.060899816	4	0.2
Tumor	CD8.CX3CR1	0.011037298	4	0.2
Tumor	CD8.CX3CR1	0.018077866	4	0.2
Tumor	CD8.CX3CR1	0.025364481	4	0.2
Tumor	CD8.CX3CR1	0.047241913	4	0.2
Tumor	CD8.CX3CR1	0.01216133	4	0.2
Tumor	CD8.CX3CR1	0.035190809	4	0.2
Tumor	CD8.CX3CR1	0.003630871	4	0.2
Tumor	CD8.CX3CR1	0.096495914	4	0.2
Tumor	CD8.CX3CR1	0.066814319	4	0.2
Tumor	CD8.CX3CR1	0.09125739	4	0.2
Tumor	CD8.CX3CR1	0.011378463	4	0.2
Tumor	CD8.CX3CR1	0.080017182	4	0.2
Tumor	CD8.CX3CR1	0.043987272	4	0.2
Tumor	CD8.CX3CR1	0.060823266	4	0.2
Tumor	CD8.CX3CR1	0.004732425	4	0.2
Tumor	CD8.CX3CR1	0.007475497	4	0.2
Tumor	CD8.CX3CR1	0	4	0.2
Tumor	CD8.CX3CR1	0.106736438	4	0.2
Tumor	CD8.CX3CR1	0.017392239	4	0.2
Tumor	CD8.CX3CR1	0.072923503	4	0.2
Tumor	CD8.CX3CR1	0.029097891	4	0.2
Tumor	CD8.CX3CR1	0.014641245	4	0.2
Tumor	CD8.CX3CR1	0.12888858	4	0.2
Tumor	CD8.CX3CR1	0.05542619	4	0.2
Tumor	CD8.CX3CR1	0.020038846	4	0.2
Tumor	CD8.CX3CR1	0.030840054	4	0.2
Tumor	CD8.CX3CR1	0	4	0.2
Tumor	CD8.CX3CR1	0.002158522	4	0.2
Tumor	CD8.CX3CR1	0	4	0.2
Tumor	CD8.CX3CR1	0.027277457	4	0.2
Tumor	CD8.CX3CR1	0.007791348	4	0.2
Tumor	CD8.CX3CR1	0.077713398	4	0.2
Tumor	CD8.CX3CR1	0.051907396	4	0.2
Tumor	CD8.CX3CR1	0.019959192	4	0.2
Tumor	CD8.CX3CR1	0.038461027	4	0.2
Tumor	CD8.CX3CR1	0.023693985	4	0.2
Tumor	CD8.CX3CR1	0.028812411	4	0.2
Tumor	CD8.CX3CR1	0.037517701	4	0.2
Tumor	CD8.CX3CR1	0.003620816	4	0.2
Tumor	CD8.CX3CR1	0.047755465	4	0.2
Tumor	CD8.CX3CR1	0.016957007	4	0.2
Tumor	CD8.CX3CR1	0.038600518	4	0.2
Tumor	CD8.CX3CR1	0.008434611	4	0.2
Tumor	CD8.CX3CR1	0	4	0.2
Tumor	CD8.CX3CR1	0.058402979	4	0.2
Tumor	CD8.CX3CR1	0.055421062	4	0.2
Tumor	CD8.CX3CR1	0.095107169	4	0.2
Tumor	CD8.CX3CR1	0.044117183	4	0.2
Tumor	CD8.CX3CR1	0.041194539	4	0.2
Tumor	CD8.CX3CR1	0	4	0.2
Tumor	CD8.CX3CR1	0.03834168	4	0.2
Tumor	CD8.CX3CR1	0.026876507	4	0.2
Tumor	CD8.CX3CR1	0.028109367	4	0.2
Tumor	CD8.CX3CR1	0.041549556	4	0.2
Tumor	CD8.CX3CR1	0.033466911	4	0.2
Tumor	CD8.CX3CR1	0.03305591	4	0.2
Tumor	CD8.CX3CR1	0.071996544	4	0.2
Tumor	CD8.CX3CR1	0.01281414	4	0.2
Tumor	CD8.CX3CR1	0.09153104	4	0.2
Tumor	CD8.CX3CR1	0.067050818	4	0.2
Tumor	CD8.CX3CR1	0.006327702	4	0.2
Tumor	CD8.CX3CR1	0.007744314	4	0.2
Tumor	CD8.CX3CR1	0.033493386	4	0.2
Tumor	CD8.CX3CR1	0.024144547	4	0.2
Tumor	CD8.CX3CR1	0.049218639	4	0.2
Tumor	CD8.CX3CR1	0.007450866	4	0.2
Tumor	CD8.CX3CR1	0.008536095	4	0.2
Tumor	CD8.CX3CR1	0.066756449	4	0.2
Tumor	CD8.CX3CR1	0.040177336	4	0.2
Tumor	CD8.CX3CR1	0.00771369	4	0.2
Tumor	CD8.CX3CR1	0	4	0.2
Tumor	CD8.CX3CR1	0.076500808	4	0.2
Tumor	CD8.CX3CR1	0.029338753	4	0.2
Tumor	CD8.CX3CR1	0.083938266	4	0.2
Tumor	CD8.CX3CR1	0.051539996	4	0.2
Tumor	CD8.CX3CR1	0	4	0.2
Tumor	CD8.CX3CR1	0.011124753	4	0.2
Tumor	CD8.CX3CR1	0.030839512	4	0.2
Tumor	CD8.CX3CR1	0.011925651	4	0.2
Tumor	CD8.CX3CR1	0.023769109	4	0.2
Tumor	CD8.CX3CR1	0.060010777	4	0.2
Tumor	CD8.CX3CR1	0.056827419	4	0.2
Tumor	CD8.CX3CR1	0.032508223	4	0.2
Tumor	CD8.CX3CR1	0.025198257	4	0.2
Tumor	CD8.CX3CR1	0.082740554	4	0.2
Tumor	CD8.CX3CR1	0.167312827	4	0.2
Tumor	CD8.CX3CR1	0.034360492	4	0.2
Tumor	CD8.CX3CR1	0.000421736	4	0.2
Tumor	CD8.CX3CR1	0.055993959	4	0.2
Tumor	CD8.CX3CR1	0.057151844	4	0.2
Tumor	CD8.CX3CR1	0.003969563	4	0.2
Tumor	CD8.CX3CR1	0.00812759	4	0.2
Tumor	CD8.CX3CR1	0.103623784	4	0.2
Tumor	CD8.CX3CR1	0.007164685	4	0.2
Tumor	CD8.CX3CR1	0.019603514	4	0.2
Tumor	CD8.CX3CR1	0.064969439	4	0.2
Tumor	CD8.CX3CR1	0.033510365	4	0.2
Tumor	CD8.CX3CR1	0.038927103	4	0.2
Tumor	CD8.CX3CR1	0.00708552	4	0.2
Tumor	CD8.CX3CR1	0.031805726	4	0.2
Tumor	CD8.CX3CR1	0.044800643	4	0.2
Tumor	CD8.CX3CR1	0.011679888	4	0.2
Tumor	CD8.CX3CR1	0.028554746	4	0.2
Tumor	CD8.CX3CR1	0.078339528	4	0.2
