"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",4702.69472386844,0.333651500329673,0.165772924696982,2.01270201958226,0.044145986802906,0.151905906348117
"A1BG-AS1",88.5145539793766,0.148802913111647,0.128712137557792,1.15609076140806,0.247644034519734,0.459104812126427
"A1CF",8404.23372495146,0.074141941611491,0.0883235678348,0.839435537184885,0.401224948860314,0.61199154306327
"A2M",131683.958581036,0.236449162895151,0.179845283613418,1.31473652321851,0.188598467288374,0.38820691802051
"A2M-AS1",78.509377912545,0.142579715125133,0.117295990962979,1.21555488772105,0.22415452796232,0.431944069667359
"A2ML1",2.42243632547495,0.186374046471488,0.322282627815962,0.578293802971956,0.563065777571492,0.741924261484162
"A2MP1",18.8755563498215,0.298206816705203,0.196169881955499,1.52014577228961,0.12847434285293,0.305503306020802
"A3GALT2",0.595238651315394,0.628134425115775,0.312081829799389,2.01272347550497,0.044143728297952,0.151905906348117
"A4GALT",310.152661417045,0.23157642685031,0.146028645007924,1.58582877241478,0.112778156914474,0.281174278663805
"A4GNT",5.54713981916625,0.62846493062659,0.412567780389172,1.52330104409453,0.127683406065843,0.30461407179109
"AA06",0.0130163123784854,0.157510845960675,2.89608617808373,0.0543874858257484,0.956626448962768,NA
"AAAS",1598.19361222524,-0.176759355192502,0.0446964460699561,-3.95466241132124,7.66427939973953e-05,0.00150340517669891
"AACS",664.638648922652,-0.30877245535671,0.103834414566147,-2.97370054665266,0.0029423206438572,0.0234511146877783
"AACSP1",4.42426664475029,-0.627075159915781,0.531245176267206,-1.18038748948635,0.237846135406442,0.448169561379122
"AADAC",12498.1429632763,0.0760794130271216,0.153177198639908,0.496675834932655,0.619417665909169,0.78127906955738
"AADACL2",0.357504057188494,-0.471092742696723,0.401264244758126,-1.17402123127289,0.240386521653399,0.45107072287221
"AADACL3",0.484934258591024,-0.568556151246605,0.795771697033507,-0.714471441201138,0.474935709567024,0.672466699779973
"AADACL4",0.33647708051745,-0.319962670927943,0.595592097969422,-0.537217790529468,0.591117183823476,0.762238574429383
"AADACP1",170.716656358262,-0.280763964079189,0.178121035755094,-1.57625382588289,0.11496731827966,0.285090550745935
"AADAT",379.421361993589,0.274793199619557,0.184479324159795,1.48956096229805,0.136339712890845,0.316914287644562
"AAGAB",1230.26598422952,-0.0267624649437693,0.0462201530320957,-0.57902155635844,0.562574628095345,0.741547006981077
"AAK1",1021.16353923187,-0.128390994663299,0.0770167588363145,-1.66705268571703,0.0955039291062045,0.251522965951634
"AAMDC",1026.04114234637,0.059499459516982,0.116993152184449,0.508572154917037,0.611052150835125,0.775111658909174
"AAMP",4439.83636255799,-0.083814215774627,0.0519911016895033,-1.61208770445325,0.10694285594823,0.270808558840934
"AANAT",4.73596959274261,-0.552930524867967,0.205184087939115,-2.69480216727157,0.00704304341140107,0.0436022427441647
"AAR2",1774.090967262,-0.0747061005025589,0.0439817795093951,-1.69856930155818,0.0894003646925935,0.24160565454938
"AARD",1.61823373955186,0.186468912542896,0.269535102897705,0.691816800625281,0.489052384541967,0.683677681204986
"AARS",7600.83270555445,-0.143122318932998,0.0743588010154985,-1.92475291395792,0.0542602772343246,0.174617039831257
"AARS2",941.243812794469,-0.197276676159192,0.0631271801071297,-3.12506713945411,0.00177764481527813,0.0160572206614705
"AARSD1",174.096445984644,-0.108394899511431,0.0731451944009013,-1.48191416263561,0.138363136134913,0.320107353829652
"AASDH",284.563670903002,0.0395265613201042,0.0664081482138088,0.595206497745484,0.551705447451261,0.733646039121947
"AASDHPPT",1165.4888232869,0.0668574542510445,0.060870260905348,1.09835990936537,0.272047361190331,0.485169066993616
"AASS",961.449007126736,-0.0946419106210218,0.215745727246103,-0.438673394968619,0.660898207426184,0.809688209826724
"AATBC",17.3928087785152,-0.322779636015985,0.139406879115205,-2.31537810805765,0.0205922485232028,0.0907335243269656
"AATF",2423.87321066727,-0.329408250821442,0.0633717697520477,-5.19802827205719,2.01413500653439e-07,1.23322110154425e-05
"AATK",131.687620430131,0.457173851898331,0.205572445458699,2.22390627731372,0.02615475064459,0.107380269013857
